Changed database context to 'MeteoriteLandings'.
name                                               recclass                                           year        GeoLocationX             GeoLocationY            
-------------------------------------------------- -------------------------------------------------- ----------- ------------------------ ------------------------
Allan Hills 94001                                  L/LL4                                                     1994      -76.716669999999993       159.66667000000001
Allan Hills 94002                                  L6                                                        1994      -76.716669999999993       159.66667000000001
Allan Hills 94003                                  H5                                                        1994      -76.716669999999993       159.66667000000001
Allan Hills 94004                                  H5                                                        1994      -76.716669999999993       159.66667000000001
Allan Hills 94005                                  H5                                                        1994      -76.716669999999993       159.66667000000001
Allan Hills 94006                                  H6                                                        1994      -76.716669999999993       159.66667000000001
Allan Hills 94007                                  L3.4                                                      1994      -76.716669999999993       159.66667000000001
Allan Hills 94008                                  H6                                                        1994      -76.716669999999993       159.66667000000001
Allan Hills 94009                                  L6                                                        1994      -76.716669999999993       159.66667000000001
Allan Hills 94010                                  L6                                                        1994      -76.716669999999993       159.66667000000001
Allan Hills 94011                                  L6                                                        1994      -76.716669999999993       159.66667000000001
Allan Hills 94012                                  L4                                                        1994      -76.716669999999993       159.66667000000001
Allan Hills 94013                                  L6                                                        1994      -76.716669999999993       159.66667000000001
Allan Hills 94014                                  L6                                                        1994      -76.716669999999993       159.66667000000001
Allan Hills 94015                                  L6                                                        1994      -76.716669999999993       159.66667000000001
Allan Hills 94016                                  L6                                                        1994      -76.716669999999993       159.66667000000001
Allan Hills 94017                                  L6                                                        1994      -76.716669999999993       159.66667000000001
Allan Hills 94018                                  L6                                                        1994      -76.716669999999993       159.66667000000001
Allan Hills 94019                                  L6                                                        1994      -76.716669999999993       159.66667000000001
Allan Hills 94020                                  L6                                                        1994      -76.716669999999993       159.66667000000001
Barrilla                                           H5                                                        1994       30.783329999999999      -103.46666999999999
Baszk+¦wka                                         L5                                                        1994       52.033329999999999       20.935829999999999
Baygorria                                          Iron-IAB complex                                          1994                    -33.0                    -56.0
Broken Hill                                        L6                                                        1994                -31.83333                141.76667
Camel Donga 017                                    H5                                                        1994      -30.021999999999998       126.55249999999999
Camel Donga 018                                    L6                                                        1994      -30.022500000000001       126.55200000000001
Camel Donga 019                                    L6                                                        1994                -30.07967       126.88916999999999
Camel Donga 020                                    L6                                                        1994                -30.07967       126.88916999999999
Camel Donga 021                                    L6                                                        1994      -30.063829999999999                126.88417
Camel Donga 022                                    L6                                                        1994                 -30.0855       126.90116999999999
Camel Donga 023                                    H6                                                        1994      -30.087330000000001                126.90167
Camel Donga 024                                    L6                                                        1994      -30.098669999999998       126.88549999999999
Camel Donga 025                                    L/LL6                                                     1994      -30.098669999999998                126.88533
Camel Donga 026                                    L6                                                        1994      -30.091670000000001                126.88883
Camel Donga 027                                    L/LL6                                                     1994      -30.091670000000001                126.88883
Camel Donga 028                                    L6                                                        1994      -30.091670000000001                126.88883
Camel Donga 029                                    L6                                                        1994      -30.091670000000001                126.88883
Camel Donga 030                                    L6                                                        1994      -30.091670000000001                126.88883
Camel Donga 031                                    L6                                                        1994      -30.091670000000001                126.88883
Camel Donga 032                                    LL6                                                       1994      -30.091670000000001                126.88883
Camel Donga 033                                    LL6                                                       1994      -30.091670000000001                126.88883
Camel Donga 034                                    L6                                                        1994      -30.091670000000001                126.88883
Camel Donga 035                                    L6                                                        1994      -30.091670000000001                126.88883
Camel Donga 036                                    L6                                                        1994      -30.091670000000001                126.88883
Camel Donga 037                                    L6                                                        1994                 -30.1845       126.68367000000001
Camel Donga 038                                    H6                                                        1994      -30.184170000000002                    126.7
Camel Donga 039                                    H6                                                        1994      -30.316669999999998       126.59999999999999
Coleman                                            L6                                                        1994       43.761110000000002      -84.507779999999997
Devri-Khera                                        L6                                                        1994       24.225000000000001       76.525000000000006
Great Sand Sea 004                                 LL6                                                       1994       25.593060000000001                 25.52778
Gunnadorah 003                                     L6                                                        1994      -30.499669999999998                126.22183
Gunnadorah 004                                     H5                                                        1994      -30.467169999999999                126.34367
Gunnadorah 005                                     L6                                                        1994      -30.474830000000001                126.35883
Gunnadorah 006                                     L6                                                        1994      -30.474830000000001                126.35883
Gunnadorah 007                                     L6                                                        1994      -30.480329999999999       126.34699999999999
Gunnadorah 008                                     H6                                                        1994      -30.480830000000001       126.34632999999999
Gunnadorah 009                                     H6                                                        1994      -30.480830000000001       126.34632999999999
Gunnadorah 010                                     H5                                                        1994      -30.466670000000001                126.33333
Hammadah al Hamra 042                              L6                                                        1994       29.270499999999998       11.670170000000001
Hammadah al Hamra 043                              CO3                                                       1994                 29.07367                  11.8765
Hammadah al Hamra 044                              H4                                                        1994                 29.25067       11.251670000000001
Hammadah al Hamra 045                              H5                                                        1994                 29.36167                 11.24583
Hammadah al Hamra 046                              L/LL6                                                     1994       28.616669999999999                 12.94533
Hammadah al Hamra 047                              H4/5                                                      1994                 28.68233       13.070830000000001
Hammadah al Hamra 048                              H4/5                                                      1994                 28.49033                  13.3055
Hammadah al Hamra 049                              H4                                                        1994       28.533000000000001                 13.14517
Hammadah al Hamra 050                              L5-6                                                      1994       28.798829999999999                 12.95933
Hammadah al Hamra 051                              H6                                                        1994       28.843499999999999       12.996829999999999
Hammadah al Hamra 052                              LL5-6                                                     1994                 28.91367       13.086499999999999
Hammadah al Hamra 053                              L5-6                                                      1994       28.868500000000001       13.303000000000001
Hammadah al Hamra 054                              H6                                                        1994                   28.988                 13.06133
Hammadah al Hamra 055                              H6                                                        1994       28.989830000000001                 13.05983
Hammadah al Hamra 056                              LL6                                                       1994       28.672999999999998       13.164669999999999
Hammadah al Hamra 057                              LL6                                                       1994       28.940000000000001                  13.0665
Hammadah al Hamra 058                              L4-5                                                      1994       28.940829999999998                  13.0665
Hammadah al Hamra 059                              Eucrite-mmict                                             1994       28.945499999999999                  13.0695
Hammadah al Hamra 060                              LL6                                                       1994       28.951329999999999       13.074999999999999
Hammadah al Hamra 061                              H5                                                        1994       28.972999999999999       13.100669999999999
Hammadah al Hamra 062                              LL4-5                                                     1994       28.764669999999999       12.343669999999999
Hammadah al Hamra 063                              H6                                                        1994       28.775829999999999       12.336830000000001
Hammadah al Hamra 064                              Ureilite                                                  1994       28.777670000000001                  12.3355
Hammadah al Hamra 065                              L6                                                        1994       28.634170000000001       12.725669999999999
Hammadah al Hamra 066                              L6                                                        1994       28.633669999999999                   12.724
Hammadah al Hamra 067                              L6                                                        1994       28.639669999999999                 12.71433
Hammadah al Hamra 068                              H5/6                                                      1994       28.754670000000001       12.586830000000001
Hammadah al Hamra 069                              L6                                                        1994       29.031829999999999                   12.381
Hammadah al Hamra 070                              H6                                                        1994                 29.16133       12.449999999999999
Hammadah al Hamra 071                              L6                                                        1994       29.212499999999999                 12.52183
Hammadah al Hamra 072                              H5                                                        1994                 28.76717                 12.89883
Hammadah al Hamra 073                              C4-ung                                                    1994       28.787669999999999                 12.87017
Hammadah al Hamra 074                              L/LL6                                                     1994       28.856169999999999                 12.59867
Hammadah al Hamra 075                              H5                                                        1994       28.904669999999999       12.555669999999999
Hammadah al Hamra 076                              H5                                                        1994       28.969000000000001       12.356999999999999
Hammadah al Hamra 077                              H5                                                        1994                  28.9755                 12.33967
Hammadah al Hamra 078                              H5                                                        1994                   29.189       12.265829999999999
Hammadah al Hamra 079                              H5                                                        1994       29.187830000000002                 12.25483
Hughes 037                                         H5                                                        1994                -30.41667       129.65000000000001
Kress d                                            H5                                                        1994       34.383330000000001      -101.71666999999999
Las Colonas                                        Howardite                                                 1994                 22.58333               -101.98333
Lohawat                                            Howardite                                                 1994                 26.96556       72.626670000000004
Lonewolf Nunataks 94100                            EL6                                                       1994      -81.333330000000004       152.83332999999999
Lonewolf Nunataks 94101                            CM2                                                       1994      -81.333330000000004       152.83332999999999
Lonewolf Nunataks 94102                            CM2                                                       1994      -81.333330000000004       152.83332999999999
Lonewolf Nunataks 94103                            L6                                                        1994      -81.333330000000004       152.83332999999999
Lonewolf Nunataks 94104                            H6                                                        1994      -81.333330000000004       152.83332999999999
Lonewolf Nunataks 94105                            L6                                                        1994      -81.333330000000004       152.83332999999999
Lonewolf Nunataks 94106                            L6                                                        1994      -81.333330000000004       152.83332999999999
Lonewolf Nunataks 94107                            L6                                                        1994      -81.333330000000004       152.83332999999999
Lonewolf Nunataks 94108                            L6                                                        1994      -81.333330000000004       152.83332999999999
Lonewolf Nunataks 94109                            L6                                                        1994      -81.333330000000004       152.83332999999999
Majdul 001                                         L6                                                        1994       25.595669999999998       15.422499999999999
Mont Dieu                                          Iron-ungrouped                                            1994       49.549999999999997       4.8666700000000001
New Halfa                                          L4                                                        1994       15.366669999999999       35.683329999999998
Pampa Providencia                                  Iron-IIIAB                                                1994      -24.449999999999999      -69.571669999999997
Pigick                                             H5                                                        1994      -35.906669999999998       141.85499999999999
Queen Alexandra Range 94200                        Howardite                                                 1994                    -84.0                    168.0
Queen Alexandra Range 94201                        Martian shergottite                                       1994                    -84.0                    168.0
Queen Alexandra Range 94202                        L6                                                        1994                    -84.0                    168.0
Queen Alexandra Range 94203                        L6                                                        1994                    -84.0                    168.0
Queen Alexandra Range 94204                        EH7                                                       1994                    -84.0                    168.0
Queen Alexandra Range 94205                        L6                                                        1994                    -84.0                    168.0
Queen Alexandra Range 94206                        L6                                                        1994                    -84.0                    168.0
Queen Alexandra Range 94207                        L6                                                        1994                    -84.0                    168.0
Queen Alexandra Range 94208                        L6                                                        1994                    -84.0                    168.0
